Name, sn, tn, wkn, l(m), M, Rp(m), Rd(m), E(Pa), Pext, R1, C,
1-Ascendingaorta, 1, 2, 0, 0.04, 40, 0.012, 0.012, 400000.0, 0., 0.0, 0.0,
2-AorticarchI, 2, 3, 0, 0.02, 20, 0.0112, 0.0112, 400000.0, 0., 0.0, 0.0,
3-Brachiocephalic, 2, 4, 0, 0.034, 34, 0.0062, 0.0062, 400000.0, 0., 0.0, 0.0,
4-AorticarchII, 3, 5, 0, 0.039, 39, 0.0107, 0.0107, 400000.0, 0., 0.0, 0.0,
5-L-commoncarotid, 3, 6, 0, 0.208, 208, 0.0025, 0.0025, 400000.0, 0., 0.0, 0.0,
6-R-commoncarotid, 4, 7, 0, 0.177, 177, 0.0025, 0.0025, 400000.0, 0., 0.0, 0.0,
7-R-subclavian, 4, 8, 0, 0.034, 34, 0.00423, 0.00423, 400000.0, 0., 0.0, 0.0,
8-Thoracicaorta, 5, 9, 0, 0.156, 156, 0.00999, 0.00999, 400000.0, 0., 180000000.0, 3.87e-09,
9-L-subclavian, 5, 10, 0, 0.034, 34, 0.00423, 0.00423, 400000.0, 0., 0.0, 0.0,
10-L-ext-carotid, 6, 11, 0, 0.177, 177, 0.0015, 0.0015, 800000.0, 0., 5430000000.0, 1.27e-10,
11-L-int-carotidI, 6, 12, 0, 0.177, 177, 0.002, 0.002, 800000.0, 0., 0.0, 0.0,
12-R-int-carotidI, 7, 13, 0, 0.177, 177, 0.002, 0.002, 800000.0, 0., 0.0, 0.0,
13-R-ext-carotid, 7, 14, 0, 0.177, 177, 0.0015, 0.0015, 800000.0, 0., 5430000000.0, 1.27e-10,
14-R-vertebral, 8, 15, 0, 0.148, 148, 0.00136, 0.00136, 800000.0, 0., 0.0, 0.0,
15-R-brachial, 8, 16, 0, 0.422, 422, 0.00403, 0.00403, 400000.0, 0., 2680000000.0, 2.58e-10,
16-L-brachial, 10, 17, 0, 0.422, 422, 0.00403, 0.00403, 400000.0, 0., 2680000000.0, 2.58e-10,
17-L-vertebral, 10, 15, 0, 0.148, 148, 0.00136, 0.00136, 800000.0, 0., 0.0, 0.0,
18-L-int-carotidII, 12, 18, 0, 0.005, 5, 0.002, 0.002, 1600000.0, 0., 0.0, 0.0,
19-L-PCoA, 19, 12, 0, 0.015, 15, 0.00073, 0.00073, 1600000.0, 0., 0.0, 0.0,
20-R-PCoA, 20, 13, 0, 0.015, 15, 0.00073, 0.00073, 1600000.0, 0., 0.0, 0.0,
21-R-int-carotidII, 13, 21, 0, 0.005, 5, 0.002, 0.002, 1600000.0, 0., 0.0, 0.0,
22-Basilar, 15, 22, 0, 0.029, 28, 0.00162, 0.00162, 1600000.0, 0., 0.0, 0.0,
23-L-MCA, 18, 23, 0, 0.119, 119, 0.00143, 0.00143, 1600000.0, 0., 5970000000.0, 1.16e-10,
24-R-MCA, 21, 24, 0, 0.119, 119, 0.00143, 0.00143, 1600000.0, 0., 5970000000.0, 1.16e-10,
25-L-ACAA1, 18, 25, 0, 0.012, 12, 0.00117, 0.00117, 1600000.0, 0., 0.0, 0.0,
26-R-ACAA1, 21, 26, 0, 0.012, 12, 0.00117, 0.00117, 1600000.0, 0., 0.0, 0.0,
27-L-PCAP1, 22, 19, 0, 0.005, 5, 0.00107, 0.00107, 1600000.0, 0., 0.0, 0.0,
28-R-PCA-P1, 22, 20, 0, 0.005, 5, 0.00107, 0.00107, 1600000.0, 0., 0.0, 0.0,
29-L-ACA-A2, 25, 27, 0, 0.103, 103, 0.0012, 0.0012, 1600000.0, 0., 8480000000.0, 8.2e-11,
30-R-ACA-A2, 26, 28, 0, 0.103, 103, 0.0012, 0.0012, 1600000.0, 0., 8480000000.0, 8.2e-11,
31-ACoA, 25, 26, 0, 0.003, 5, 0.00074, 0.00074, 1600000.0, 0., 0.0, 0.0,
32-L-PCA-P2, 19, 29, 0, 0.086, 86, 0.00105, 0.00105, 1600000.0, 0., 11080000000.0, 6.2e-11,
33-R-PCA-P2, 20, 30, 0, 0.086, 86, 0.00105, 0.00105, 1600000.0, 0., 11080000000.0, 6.2e-11,
