Name, sn, tn, wkn, l, M, Rp, Rd, E, Pext, R1, C,
v1, 1, 2, 0, 0.036, 36, 0.0144, 0.013, 683224.72873, 0.0, 0.0, 0.0,
v2, 2, 3, 0, 0.028, 28, 0.011, 0.00729, 689627.056087, 0.0, 0.0, 0.0,
v3, 3, 4, 0, 0.145, 145, 0.00537, 0.00386, 701344.643961, 0.0, 2670000000.0, 1e-13,
v4, 3, 5, 0, 0.218, 218, 0.00436, 0.00334, 685437.626959, 0.0, 0.0, 0.0,
v5, 5, 6, 0, 0.165, 165, 0.00334, 0.00278, 672370.044545, 0.0, 0.0, 0.0,
v6, 6, 7, 0, 0.235, 235, 0.00207, 0.00207, 676958.952069, 0.0, 3920000000.0, 1e-13,
v7, 6, 8, 0, 0.177, 177, 0.0021, 0.0021, 689695.573386, 0.0, 3240000000.0, 1e-13,
v8, 2, 9, 0, 0.021, 21, 0.013, 0.0125, 676746.681416, 0.0, 0.0, 0.0,
v9, 9, 10, 0, 0.178, 178, 0.00558, 0.00373, 706203.082009, 0.0, 3110000000.0, 1e-13,
v10, 9, 11, 0, 0.029, 29, 0.0125, 0.0118, 671553.78194, 0.0, 0.0, 0.0,
v11, 11, 12, 0, 0.227, 227, 0.00442, 0.00339, 698554.184936, 0.0, 0.0, 0.0,
v12, 12, 13, 0, 0.175, 175, 0.00339, 0.00284, 698549.765792, 0.0, 0.0, 0.0,
v13, 13, 14, 0, 0.245, 245, 0.00207, 0.00207, 684480.692899, 0.0, 3740000000.0, 1e-13,
v14, 13, 15, 0, 0.191, 191, 0.00207, 0.00207, 694061.608164, 0.0, 3770000000.0, 1e-13,
v15, 11, 16, 0, 0.056, 56, 0.0118, 0.011, 683145.847472, 0.0, 0.0, 0.0,
v16, 16, 17, 0, 0.195, 195, 0.00412, 0.00322, 684853.806986, 0.0, 2590000000.0, 1e-13,
v17, 16, 18, 0, 0.072, 72, 0.011, 0.00926, 675178.969386, 0.0, 0.0, 0.0,
v18, 18, 19, 0, 0.038, 38, 0.00397, 0.00397, 678030.939641, 0.0, 0.0, 0.0,
v19, 19, 20, 0, 0.013, 13, 0.00431, 0.00431, 680213.764316, 0.0, 0.0, 0.0,
v20, 20, 21, 0, 0.191, 191, 0.00183, 0.00183, 655677.818214, 0.0, 3540000000.0, 1e-13,
v21, 20, 22, 0, 0.198, 198, 0.00192, 0.00192, 702496.708576, 0.0, 4240000000.0, 1e-13,
v22, 19, 23, 0, 0.186, 186, 0.00331, 0.00289, 679062.295831, 0.0, 3750000000.0, 1e-13,
v23, 18, 24, 0, 0.062, 62, 0.00926, 0.00801, 675509.6448, 0.0, 0.0, 0.0,
v24, 24, 25, 0, 0.12, 120, 0.00259, 0.00259, 661516.470398, 0.0, 3460000000.0, 1e-13,
v25, 24, 26, 0, 0.007, 7, 0.0079, 0.0079, 681713.317604, 0.0, 0.0, 0.0,
v26, 26, 27, 0, 0.118, 118, 0.00255, 0.00255, 684061.941605, 0.0, 3450000000.0, 1e-13,
v27, 26, 28, 0, 0.104, 104, 0.0078, 0.00588, 687436.089311, 0.0, 0.0, 0.0,
v28, 28, 29, 0, 0.205, 205, 0.0039, 0.00338, 692444.986296, 0.0, 0.0, 0.0,
v29, 29, 30, 0, 0.216, 216, 0.00338, 0.00231, 714263.751693, 0.0, 0.0, 0.0,
v30, 30, 31, 0, 0.206, 206, 0.00231, 0.0021, 665179.173719, 0.0, 0.0, 0.0,
v31, 28, 32, 0, 0.201, 201, 0.00402, 0.00334, 688672.654228, 0.0, 0.0, 0.0,
v32, 32, 33, 0, 0.195, 195, 0.00334, 0.00226, 713776.539748, 0.0, 0.0, 0.0,
v33, 33, 34, 0, 0.207, 207, 0.00226, 0.00212, 688122.521471, 0.0, 0.0, 0.0,
v34, 31, 35, 0, 0.163, 163, 0.00155, 0.00155, 658738.249745, 0.0, 5160000000.0, 1e-13,
v35, 31, 36, 0, 0.151, 151, 0.00153, 0.00153, 676978.372391, 0.0, 5650000000.0, 1e-13,
v36, 34, 37, 0, 0.149, 149, 0.00158, 0.00158, 667185.529175, 0.0, 4590000000.0, 1e-13,
v37, 34, 38, 0, 0.126, 126, 0.00155, 0.00155, 676820.268487, 0.0, 3160000000.0, 1e-13,
